RNA	protein	label
ENSMUST00000181348	E9Q3T6	1
ENSMUST00000236559	Q8R2X8	0
ENSMUST00000211556	Q3UYI5	0
ENSMUST00000130963	Q8K339	0
ENSMUST00000129126	P19426	1
ENSMUST00000192129	Q8K3X4	0
ENSMUST00000191495	K7N5X2	0
ENSMUST00000228127	A0A384DVB1	0
ENSMUST00000202800	Q61164	1
ENSMUST00000142353	A0A2K6EDJ7	0
ENSMUST00000226343	Q0V8T7	0
ENSMUST00000199819	A0A087WSG5	0
ENSMUST00000162348	Q9Z0Y9	1
ENSMUST00000133940	P70284	1
ENSMUST00000236341	A2AE18	0
ENSMUST00000152968	Q91VL8	1
ENSMUST00000172664	Q8BZM0	0
ENSMUST00000183304	Q62431	1
ENSMUST00000238247	Q9CQJ4	0
ENSMUST00000204247	P22091	1
ENSMUST00000201179	Q60793	1
ENSMUST00000144796	P49698	1
ENSMUST00000125873	E9QLK9	0
ENSMUST00000223799	P42227-3	0
ENSMUST00000126926	A0A1B0GRB5	0
ENSMUST00000181378	Q04207	1
ENSMUST00000206201	P42128	1
ENSMUST00000217797	P54103	1
ENSMUST00000160494	A0A1W2P8E1	0
ENSMUST00000180593	Q8K3I9-2	0
ENSMUST00000135553	Q9CQJ4	1
ENSMUST00000160368	Q91WG4	0
ENSMUST00000135048	Q08775	1
ENSMUST00000188026	Q8VIG6-2	0
ENSMUST00000224082	A0A0N4SWH4	0
ENSMUST00000162171	Q6J1H4	1
ENSMUST00000190927	P48985	1
ENSMUST00000187335	Q8K4Z6-2	0
ENSMUST00000144096	Q921N8	1
ENSMUST00000171429	Q9Z148	1
ENSMUST00000126849	P10085	1
ENSMUST00000181028	P52633	1
ENSMUST00000200940	P26323	1
ENSMUST00000197937	Q60674	1
ENSMUST00000188435	Q00175	1
ENSMUST00000224339	Q8BZH4	0
ENSMUST00000187292	Q810V0	0
ENSMUST00000135656	A0A2R8W6L5	0
ENSMUST00000220741	A0A1W2P7H6	0
ENSMUST00000123463	Q62431	1
ENSMUST00000199324	A0A2R8W6H0	0
ENSMUST00000171098	P42225	1
ENSMUST00000124555	Q9DCD0	0
ENSMUST00000129687	Q9Z148	1
ENSMUST00000181317	H3BK90	0
ENSMUST00000075081	Q3ULW6-4	0
ENSMUST00000166653	Q5DQR4	0
ENSMUST00000190783	P41778	1
ENSMUST00000187908	P22605	1
ENSMUST00000206342	A2ASI5-2	0
ENSMUST00000188435	P42230	1
ENSMUST00000217888	E9QK41	0
ENSMUST00000139019	Q8BPM6-3	0
ENSMUST00000177724	Q8BUN5	1
ENSMUST00000181882	Q62431	1
ENSMUST00000226380	J3QPK8	0
ENSMUST00000203332	P59941	1
ENSMUST00000205011	O54839	1
ENSMUST00000190248	B7ZNL3	0
ENSMUST00000186060	P20263	1
ENSMUST00000185538	Q91VL8	1
ENSMUST00000180505	Q61191	1
ENSMUST00000220053	Q8BH65-2	0
ENSMUST00000238758	A2BH40-2	0
ENSMUST00000213244	G3X905	0
ENSMUST00000192605	Q91Y44	1
ENSMUST00000181756	P09633	1
ENSMUST00000221440	E0CYX9	0
ENSMUST00000181815	Q9JHD2	1
ENSMUST00000171038	Q9DB07	0
ENSMUST00000195674	Q80T23-2	0
ENSMUST00000143710	Q61169	1
ENSMUST00000211039	Q3TEA8-3	0
ENSMUST00000188137	Q9Z0Y9	1
ENSMUST00000139309	P97503	1
ENSMUST00000209850	A0A1N9M5I8	0
ENSMUST00000181727	O70546	1
ENSMUST00000234076	Q8BH83	0
ENSMUST00000200523	O09106	1
ENSMUST00000187850	O35936	0
ENSMUST00000200000	Q7TR14	0
ENSMUST00000220789	E9Q3X0	0
ENSMUST00000191034	P09450	1
ENSMUST00000191810	Q61464-2	0
ENSMUST00000131790	A0A0G2JG55	0
ENSMUST00000181127	Q91VL8	1
ENSMUST00000184762	Q91W89	0
ENSMUST00000228667	Q3T9E4	0
ENSMUST00000192082	Q3TXX4	0
ENSMUST00000135048	P35583	1
ENSMUST00000188113	O70477	1
ENSMUST00000222863	Q80U16-5	0
ENSMUST00000216791	P58308-2	0
ENSMUST00000194957	Q9Z0H3-2	0
ENSMUST00000047607	Q9CW03	1
ENSMUST00000196806	Q8CDN8	0
ENSMUST00000144412	P42125	0
ENSMUST00000164150	A0A3P9AQ15	0
ENSMUST00000206808	Q99LG2	0
ENSMUST00000228807	Q8BN51	0
ENSMUST00000155885	P35582	1
ENSMUST00000176744	P35582	1
ENSMUST00000193457	Q5NC84	0
ENSMUST00000181093	S4R1K2	0
ENSMUST00000222329	O70169	0
ENSMUST00000203777	Q61584-6	0
ENSMUST00000191839	Q8VCW2	0
ENSMUST00000154414	O70273	1
ENSMUST00000189493	Q02067	1
ENSMUST00000211447	Q9JMA1	0
ENSMUST00000155018	Q9CPX5	0
ENSMUST00000186474	P50540	1
ENSMUST00000190739	P42225	1
ENSMUST00000134250	P26687	1
ENSMUST00000136486	K7N6K8	0
ENSMUST00000203570	P19091	1
ENSMUST00000151381	Q9CWR8	1
ENSMUST00000155334	M9MMK0	0
ENSMUST00000219113	Q6PGD2	0
ENSMUST00000148597	Q62318	1
ENSMUST00000198873	Q8CGB9	0
ENSMUST00000150754	P42128	1
ENSMUST00000146535	P22605	1
ENSMUST00000207878	A0A0U1RNN7	0
ENSMUST00000230071	F6TFC9	0
ENSMUST00000172972	P35582	1
ENSMUST00000150364	Q8BGS3	1
ENSMUST00000075081	P41183	1
ENSMUST00000209434	Q9CW03	1
ENSMUST00000181247	Q5U419	0
ENSMUST00000156260	Q04207	1
ENSMUST00000129126	P15037	1
ENSMUST00000152799	Q9Z148	1
ENSMUST00000210482	Q9QXK3-2	0
ENSMUST00000221321	A0A1Y7VNH4	0
ENSMUST00000141787	E9Q6Z5	0
ENSMUST00000148705	P12979	1
ENSMUST00000215662	H7BX83	0
ENSMUST00000190830	Q61026	1
ENSMUST00000152627	Q8R4F0	0
ENSMUST00000196973	A0A3B2WDC9	0
ENSMUST00000137134	Q8BP71	1
ENSMUST00000152825	Q8C6P8	1
ENSMUST00000191396	Q6NZA9	1
ENSMUST00000190971	Q8BUN5	1
ENSMUST00000234300	Q8K4Z3	0
ENSMUST00000160351	Q8C0I4	0
ENSMUST00000227097	A2BH01	0
ENSMUST00000139423	Q91ZW3	1
ENSMUST00000230081	Q63953	0
ENSMUST00000132564	P37238	1
ENSMUST00000218145	Q8JZW8	0
ENSMUST00000233116	Q9Z320	0
ENSMUST00000148458	O09100	1
ENSMUST00000180801	P29037	1
ENSMUST00000205445	P28033	1
ENSMUST00000139214	P58308-2	0
ENSMUST00000152726	Q8CAF4-3	0
ENSMUST00000178424	Q9CXD9	0
ENSMUST00000231772	A0A2R8VHJ2	0
ENSMUST00000132849	P28700	1
ENSMUST00000172178	P42128	1
ENSMUST00000180923	Q3U1N2	1
ENSMUST00000149300	Q8R326	1
ENSMUST00000203902	Q91Y44	1
ENSMUST00000174690	Q6PFD9	1
ENSMUST00000193985	Q3V328	0
ENSMUST00000214211	P27699-2	0
ENSMUST00000192984	Q60748	0
ENSMUST00000134512	A2AFJ8	0
ENSMUST00000181967	P01101	1
ENSMUST00000196088	Q06507	1
ENSMUST00000154673	Q62431	1
ENSMUST00000152787	P53566	1
ENSMUST00000124901	P20263	1
ENSMUST00000131787	O70546	1
ENSMUST00000198723	Q9DBS5	0
ENSMUST00000144649	P42225	1
ENSMUST00000190235	A0A668KLC8	0
ENSMUST00000210260	Q9CU62	1
ENSMUST00000186737	Q6NSQ9	0
ENSMUST00000206944	P51448	1
ENSMUST00000222573	Q640N1	0
ENSMUST00000203332	O70546	1
ENSMUST00000191034	A0A3B2WCF4	0
